Question,Location,Gender,Age,Answer,Count
What is the top thing that you need information about?,Kavrepalanchok,NA,25 to 39,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,NA,25 to 39,NA,0
What is the top thing that you need information about?,Kavrepalanchok,NA,25 to 39,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,NA,25 to 39,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,NA,25 to 39,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,NA,25 to 39,Others,0
What is the top thing that you need information about?,Kavrepalanchok,NA,25 to 39,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,NA,15 to 24,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,NA,15 to 24,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,NA,15 to 24,NA,0
What is the top thing that you need information about?,Kavrepalanchok,NA,15 to 24,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,NA,15 to 24,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,NA,15 to 24,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,NA,15 to 24,Others,0
What is the top thing that you need information about?,Kavrepalanchok,NA,15 to 24,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,NA,55+,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,NA,55+,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,NA,55+,NA,0
What is the top thing that you need information about?,Kavrepalanchok,NA,55+,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,NA,55+,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,NA,55+,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,NA,55+,Others,0
What is the top thing that you need information about?,Kavrepalanchok,NA,55+,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,NA,15-24,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,NA,15-24,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,NA,15-24,NA,0
What is the top thing that you need information about?,Kavrepalanchok,NA,15-24,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,NA,15-24,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,NA,15-24,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,NA,15-24,Others,0
What is the top thing that you need information about?,Kavrepalanchok,NA,15-24,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,NA,Don't know,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,NA,Don't know,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,NA,Don't know,NA,0
What is the top thing that you need information about?,Kavrepalanchok,NA,Don't know,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,NA,Don't know,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,NA,Don't know,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,NA,Don't know,Others,0
What is the top thing that you need information about?,Kavrepalanchok,NA,Don't know,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,Male,40 to 54,How to get healthcare psychosocial support,6
What is the top thing that you need information about?,Kavrepalanchok,Male,40 to 54,How to replace personal documentation,3
What is the top thing that you need information about?,Kavrepalanchok,Male,40 to 54,NA,42
What is the top thing that you need information about?,Kavrepalanchok,Male,40 to 54,How to get shelter materials,10
What is the top thing that you need information about?,Kavrepalanchok,Male,40 to 54,News about government decisions,74
What is the top thing that you need information about?,Kavrepalanchok,Male,40 to 54,How to register for access support,8
What is the top thing that you need information about?,Kavrepalanchok,Male,40 to 54,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Male,40 to 54,Finding missing people,10
What is the top thing that you need information about?,Kavrepalanchok,Male,Refused,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,Male,Refused,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Male,Refused,NA,1
What is the top thing that you need information about?,Kavrepalanchok,Male,Refused,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,Male,Refused,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,Male,Refused,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,Male,Refused,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Male,Refused,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,Male,don't Know,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,Male,don't Know,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Male,don't Know,NA,1
What is the top thing that you need information about?,Kavrepalanchok,Male,don't Know,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,Male,don't Know,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,Male,don't Know,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,Male,don't Know,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Male,don't Know,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,Male,25 to 39,How to get healthcare psychosocial support,6
What is the top thing that you need information about?,Kavrepalanchok,Male,25 to 39,How to replace personal documentation,2
What is the top thing that you need information about?,Kavrepalanchok,Male,25 to 39,NA,24
What is the top thing that you need information about?,Kavrepalanchok,Male,25 to 39,How to get shelter materials,3
What is the top thing that you need information about?,Kavrepalanchok,Male,25 to 39,News about government decisions,80
What is the top thing that you need information about?,Kavrepalanchok,Male,25 to 39,How to register for access support,10
What is the top thing that you need information about?,Kavrepalanchok,Male,25 to 39,Others,1
What is the top thing that you need information about?,Kavrepalanchok,Male,25 to 39,Finding missing people,11
What is the top thing that you need information about?,Kavrepalanchok,Male,15 to 24,How to get healthcare psychosocial support,2
What is the top thing that you need information about?,Kavrepalanchok,Male,15 to 24,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Male,15 to 24,NA,4
What is the top thing that you need information about?,Kavrepalanchok,Male,15 to 24,How to get shelter materials,3
What is the top thing that you need information about?,Kavrepalanchok,Male,15 to 24,News about government decisions,5
What is the top thing that you need information about?,Kavrepalanchok,Male,15 to 24,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,Male,15 to 24,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Male,15 to 24,Finding missing people,3
What is the top thing that you need information about?,Kavrepalanchok,Male,55+,How to get healthcare psychosocial support,4
What is the top thing that you need information about?,Kavrepalanchok,Male,55+,How to replace personal documentation,1
What is the top thing that you need information about?,Kavrepalanchok,Male,55+,NA,10
What is the top thing that you need information about?,Kavrepalanchok,Male,55+,How to get shelter materials,8
What is the top thing that you need information about?,Kavrepalanchok,Male,55+,News about government decisions,35
What is the top thing that you need information about?,Kavrepalanchok,Male,55+,How to register for access support,4
What is the top thing that you need information about?,Kavrepalanchok,Male,55+,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Male,55+,Finding missing people,5
What is the top thing that you need information about?,Kavrepalanchok,Male,15-24,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,Male,15-24,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Male,15-24,NA,1
What is the top thing that you need information about?,Kavrepalanchok,Male,15-24,How to get shelter materials,1
What is the top thing that you need information about?,Kavrepalanchok,Male,15-24,News about government decisions,3
What is the top thing that you need information about?,Kavrepalanchok,Male,15-24,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,Male,15-24,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Male,15-24,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,Male,Don't know,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,Male,Don't know,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Male,Don't know,NA,0
What is the top thing that you need information about?,Kavrepalanchok,Male,Don't know,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,Male,Don't know,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,Male,Don't know,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,Male,Don't know,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Male,Don't know,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,Other,40 to 54,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,Other,40 to 54,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Other,40 to 54,NA,0
What is the top thing that you need information about?,Kavrepalanchok,Other,40 to 54,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,Other,40 to 54,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,Other,40 to 54,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,Other,40 to 54,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Other,40 to 54,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,Other,Refused,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,Other,Refused,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Other,Refused,NA,0
What is the top thing that you need information about?,Kavrepalanchok,Other,Refused,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,Other,Refused,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,Other,Refused,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,Other,Refused,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Other,Refused,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,Other,don't Know,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,Other,don't Know,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Other,don't Know,NA,0
What is the top thing that you need information about?,Kavrepalanchok,Other,don't Know,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,Other,don't Know,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,Other,don't Know,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,Other,don't Know,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Other,don't Know,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,Other,25 to 39,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,Other,25 to 39,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Other,25 to 39,NA,0
What is the top thing that you need information about?,Kavrepalanchok,Other,25 to 39,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,Other,25 to 39,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,Other,25 to 39,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,Other,25 to 39,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Other,25 to 39,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,Other,15 to 24,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,Other,15 to 24,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Other,15 to 24,NA,0
What is the top thing that you need information about?,Kavrepalanchok,Other,15 to 24,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,Other,15 to 24,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,Other,15 to 24,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,Other,15 to 24,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Other,15 to 24,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,Other,55+,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,Other,55+,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Other,55+,NA,0
What is the top thing that you need information about?,Kavrepalanchok,Other,55+,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,Other,55+,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,Other,55+,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,Other,55+,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Other,55+,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,Other,15-24,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,Other,15-24,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Other,15-24,NA,0
What is the top thing that you need information about?,Kavrepalanchok,Other,15-24,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,Other,15-24,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,Other,15-24,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,Other,15-24,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Other,15-24,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,Other,Don't know,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,Other,Don't know,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Other,Don't know,NA,0
What is the top thing that you need information about?,Kavrepalanchok,Other,Don't know,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,Other,Don't know,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,Other,Don't know,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,Other,Don't know,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Other,Don't know,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,Female,40 to 54,How to get healthcare psychosocial support,2
What is the top thing that you need information about?,Kavrepalanchok,Female,40 to 54,How to replace personal documentation,1
What is the top thing that you need information about?,Kavrepalanchok,Female,40 to 54,NA,11
What is the top thing that you need information about?,Kavrepalanchok,Female,40 to 54,How to get shelter materials,5
What is the top thing that you need information about?,Kavrepalanchok,Female,40 to 54,News about government decisions,43
What is the top thing that you need information about?,Kavrepalanchok,Female,40 to 54,How to register for access support,7
What is the top thing that you need information about?,Kavrepalanchok,Female,40 to 54,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Female,40 to 54,Finding missing people,4
What is the top thing that you need information about?,Kavrepalanchok,Female,Refused,How to get healthcare psychosocial support,1
What is the top thing that you need information about?,Kavrepalanchok,Female,Refused,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Female,Refused,NA,0
What is the top thing that you need information about?,Kavrepalanchok,Female,Refused,How to get shelter materials,1
What is the top thing that you need information about?,Kavrepalanchok,Female,Refused,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,Female,Refused,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,Female,Refused,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Female,Refused,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,Female,don't Know,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,Female,don't Know,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Female,don't Know,NA,0
What is the top thing that you need information about?,Kavrepalanchok,Female,don't Know,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,Female,don't Know,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,Female,don't Know,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,Female,don't Know,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Female,don't Know,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,Female,25 to 39,How to get healthcare psychosocial support,6
What is the top thing that you need information about?,Kavrepalanchok,Female,25 to 39,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Female,25 to 39,NA,25
What is the top thing that you need information about?,Kavrepalanchok,Female,25 to 39,How to get shelter materials,3
What is the top thing that you need information about?,Kavrepalanchok,Female,25 to 39,News about government decisions,37
What is the top thing that you need information about?,Kavrepalanchok,Female,25 to 39,How to register for access support,15
What is the top thing that you need information about?,Kavrepalanchok,Female,25 to 39,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Female,25 to 39,Finding missing people,6
What is the top thing that you need information about?,Kavrepalanchok,Female,15 to 24,How to get healthcare psychosocial support,1
What is the top thing that you need information about?,Kavrepalanchok,Female,15 to 24,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Female,15 to 24,NA,5
What is the top thing that you need information about?,Kavrepalanchok,Female,15 to 24,How to get shelter materials,4
What is the top thing that you need information about?,Kavrepalanchok,Female,15 to 24,News about government decisions,9
What is the top thing that you need information about?,Kavrepalanchok,Female,15 to 24,How to register for access support,1
What is the top thing that you need information about?,Kavrepalanchok,Female,15 to 24,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Female,15 to 24,Finding missing people,1
What is the top thing that you need information about?,Kavrepalanchok,Female,55+,How to get healthcare psychosocial support,4
What is the top thing that you need information about?,Kavrepalanchok,Female,55+,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Female,55+,NA,4
What is the top thing that you need information about?,Kavrepalanchok,Female,55+,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,Female,55+,News about government decisions,11
What is the top thing that you need information about?,Kavrepalanchok,Female,55+,How to register for access support,7
What is the top thing that you need information about?,Kavrepalanchok,Female,55+,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Female,55+,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,Female,15-24,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,Female,15-24,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Female,15-24,NA,1
What is the top thing that you need information about?,Kavrepalanchok,Female,15-24,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,Female,15-24,News about government decisions,3
What is the top thing that you need information about?,Kavrepalanchok,Female,15-24,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,Female,15-24,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Female,15-24,Finding missing people,0
What is the top thing that you need information about?,Kavrepalanchok,Female,Don't know,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kavrepalanchok,Female,Don't know,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,Female,Don't know,NA,0
What is the top thing that you need information about?,Kavrepalanchok,Female,Don't know,How to get shelter materials,0
What is the top thing that you need information about?,Kavrepalanchok,Female,Don't know,News about government decisions,0
What is the top thing that you need information about?,Kavrepalanchok,Female,Don't know,How to register for access support,0
What is the top thing that you need information about?,Kavrepalanchok,Female,Don't know,Others,0
What is the top thing that you need information about?,Kavrepalanchok,Female,Don't know,Finding missing people,0
What is the top thing that you need information about?,Dolakha,NA,40 to 54,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Dolakha,NA,40 to 54,How to replace personal documentation,0
What is the top thing that you need information about?,Dolakha,NA,40 to 54,NA,0
What is the top thing that you need information about?,Dolakha,NA,40 to 54,How to get shelter materials,0
What is the top thing that you need information about?,Dolakha,NA,40 to 54,News about government decisions,0
What is the top thing that you need information about?,Dolakha,NA,40 to 54,How to register for access support,0
What is the top thing that you need information about?,Dolakha,NA,40 to 54,Others,0
What is the top thing that you need information about?,Dolakha,NA,40 to 54,Finding missing people,0
What is the top thing that you need information about?,Dolakha,NA,Refused,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Dolakha,NA,Refused,How to replace personal documentation,0
What is the top thing that you need information about?,Dolakha,NA,Refused,NA,0
What is the top thing that you need information about?,Dolakha,NA,Refused,How to get shelter materials,0
What is the top thing that you need information about?,Dolakha,NA,Refused,News about government decisions,0
What is the top thing that you need information about?,Dolakha,NA,Refused,How to register for access support,0
What is the top thing that you need information about?,Dolakha,NA,Refused,Others,0
What is the top thing that you need information about?,Dolakha,NA,Refused,Finding missing people,0
What is the top thing that you need information about?,Dolakha,NA,don't Know,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Dolakha,NA,don't Know,How to replace personal documentation,0
What is the top thing that you need information about?,Dolakha,NA,don't Know,NA,0
What is the top thing that you need information about?,Dolakha,NA,don't Know,How to get shelter materials,0
What is the top thing that you need information about?,Dolakha,NA,don't Know,News about government decisions,0
What is the top thing that you need information about?,Dolakha,NA,don't Know,How to register for access support,0
What is the top thing that you need information about?,Dolakha,NA,don't Know,Others,0
What is the top thing that you need information about?,Dolakha,NA,don't Know,Finding missing people,0
What is the top thing that you need information about?,Dolakha,NA,25 to 39,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Dolakha,NA,25 to 39,How to replace personal documentation,0
What is the top thing that you need information about?,Dolakha,NA,25 to 39,NA,0
What is the top thing that you need information about?,Dolakha,NA,25 to 39,How to get shelter materials,0
What is the top thing that you need information about?,Dolakha,NA,25 to 39,News about government decisions,0
What is the top thing that you need information about?,Dolakha,NA,25 to 39,How to register for access support,0
What is the top thing that you need information about?,Dolakha,NA,25 to 39,Others,0
What is the top thing that you need information about?,Dolakha,NA,25 to 39,Finding missing people,0
What is the top thing that you need information about?,Dolakha,NA,15 to 24,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Dolakha,NA,15 to 24,How to replace personal documentation,0
What is the top thing that you need information about?,Dolakha,NA,15 to 24,NA,0
What is the top thing that you need information about?,Dolakha,NA,15 to 24,How to get shelter materials,0
What is the top thing that you need information about?,Dolakha,NA,15 to 24,News about government decisions,0
What is the top thing that you need information about?,Dolakha,NA,15 to 24,How to register for access support,0
What is the top thing that you need information about?,Dolakha,NA,15 to 24,Others,0
What is the top thing that you need information about?,Dolakha,NA,15 to 24,Finding missing people,0
What is the top thing that you need information about?,Dolakha,NA,55+,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Dolakha,NA,55+,How to replace personal documentation,0
What is the top thing that you need information about?,Dolakha,NA,55+,NA,0
What is the top thing that you need information about?,Dolakha,NA,55+,How to get shelter materials,0
What is the top thing that you need information about?,Dolakha,NA,55+,News about government decisions,0
What is the top thing that you need information about?,Dolakha,NA,55+,How to register for access support,0
What is the top thing that you need information about?,Dolakha,NA,55+,Others,0
What is the top thing that you need information about?,Dolakha,NA,55+,Finding missing people,0
What is the top thing that you need information about?,Dolakha,NA,15-24,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Dolakha,NA,15-24,How to replace personal documentation,0
What is the top thing that you need information about?,Dolakha,NA,15-24,NA,0
What is the top thing that you need information about?,Dolakha,NA,15-24,How to get shelter materials,0
What is the top thing that you need information about?,Dolakha,NA,15-24,News about government decisions,0
What is the top thing that you need information about?,Dolakha,NA,15-24,How to register for access support,0
What is the top thing that you need information about?,Dolakha,NA,15-24,Others,0
What is the top thing that you need information about?,Dolakha,NA,15-24,Finding missing people,0
What is the top thing that you need information about?,Dolakha,NA,Don't know,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Dolakha,NA,Don't know,How to replace personal documentation,0
What is the top thing that you need information about?,Dolakha,NA,Don't know,NA,0
What is the top thing that you need information about?,Dolakha,NA,Don't know,How to get shelter materials,0
What is the top thing that you need information about?,Dolakha,NA,Don't know,News about government decisions,0
What is the top thing that you need information about?,Dolakha,NA,Don't know,How to register for access support,0
What is the top thing that you need information about?,Dolakha,NA,Don't know,Others,0
What is the top thing that you need information about?,Dolakha,NA,Don't know,Finding missing people,0
What is the top thing that you need information about?,Dolakha,Male,40 to 54,How to get healthcare psychosocial support,6
What is the top thing that you need information about?,Dolakha,Male,40 to 54,How to replace personal documentation,1
What is the top thing that you need information about?,Dolakha,Male,40 to 54,NA,22
What is the top thing that you need information about?,Dolakha,Male,40 to 54,How to get shelter materials,19
What is the top thing that you need information about?,Dolakha,Male,40 to 54,News about government decisions,47
What is the top thing that you need information about?,Dolakha,Male,40 to 54,How to register for access support,7
What is the top thing that you need information about?,Dolakha,Male,40 to 54,Others,0
What is the top thing that you need information about?,Dolakha,Male,40 to 54,Finding missing people,0
What is the top thing that you need information about?,Dolakha,Male,Refused,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Dolakha,Male,Refused,How to replace personal documentation,0
What is the top thing that you need information about?,Dolakha,Male,Refused,NA,2
What is the top thing that you need information about?,Dolakha,Male,Refused,How to get shelter materials,0
What is the top thing that you need information about?,Dolakha,Male,Refused,News about government decisions,3
What is the top thing that you need information about?,Dolakha,Male,Refused,How to register for access support,0
What is the top thing that you need information about?,Dolakha,Male,Refused,Others,0
What is the top thing that you need information about?,Dolakha,Male,Refused,Finding missing people,0
What is the top thing that you need information about?,Dolakha,Male,don't Know,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Dolakha,Male,don't Know,How to replace personal documentation,0
What is the top thing that you need information about?,Dolakha,Male,don't Know,NA,0
What is the top thing that you need information about?,Dolakha,Male,don't Know,How to get shelter materials,0
What is the top thing that you need information about?,Dolakha,Male,don't Know,News about government decisions,0
What is the top thing that you need information about?,Dolakha,Male,don't Know,How to register for access support,0
What is the top thing that you need information about?,Dolakha,Male,don't Know,Others,0
What is the top thing that you need information about?,Dolakha,Male,don't Know,Finding missing people,0
What is the top thing that you need information about?,Dolakha,Male,25 to 39,How to get healthcare psychosocial support,4
What is the top thing that you need information about?,Dolakha,Male,25 to 39,How to replace personal documentation,1
What is the top thing that you need information about?,Dolakha,Male,25 to 39,NA,37
What is the top thing that you need information about?,Dolakha,Male,25 to 39,How to get shelter materials,13
What is the top thing that you need information about?,Dolakha,Male,25 to 39,News about government decisions,55
What is the top thing that you need information about?,Dolakha,Male,25 to 39,How to register for access support,14
What is the top thing that you need information about?,Dolakha,Male,25 to 39,Others,0
What is the top thing that you need information about?,Dolakha,Male,25 to 39,Finding missing people,1
What is the top thing that you need information about?,Dolakha,Male,15 to 24,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Dolakha,Male,15 to 24,How to replace personal documentation,0
What is the top thing that you need information about?,Dolakha,Male,15 to 24,NA,2
