What is your biggest problem?,Occupation_Other,District,Month,Gender,Age,Are you satisfied with what NGOs are doing for you after the earthquake?,Are your main problems being addressed?,Are your main problems being addressed2?,What is the top thing that you need information about?,Is support provided in a fair way?,Do_you_have_any_health_problem,C0JS,Date,Ward,Ethnicity_Other,Round,Ethnicity,Occupation
Long term shelter / housing,NA,Bhaktapur,7,Female,25 to 39,1 Not at all,1 Not at all,1 Not at all,How to get shelter materials,1 Not at all,"Yes, some difficulty.",1 Not at all,18/07/15,2,NA,1,Newar,Farmer / Laborer
NA,NA,Bhaktapur,7,Female,40 to 54,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,6 Don't know,"Yes, some difficulty.",6 Don't know,15/07/15,2,NA,1,Newar,Skilled Worker (i.e. Carpenter)
NA,NA,Bhaktapur,7,Male,25 to 39,6 Don't know,4 Mostly yes,4 Mostly yes,How to get shelter materials,6 Don't know,No difficulty.,1 Not at all,15/07/15,2,NA,1,Newar,Farmer / Laborer
Short-term shelter (tent / shelterbox),homemaker,Bhaktapur,7,Female,25 to 39,6 Don't know,1 Not at all,2 Very little,News about government decisions,1 Not at all,No difficulty.,1 Not at all,18/07/15,2,NA,1,Newar,Other
Housing inspections,NA,Bhaktapur,7,Male,25 to 39,1 Not at all,1 Not at all,1 Not at all,How to get healthcare psychosocial support,1 Not at all,No difficulty.,1 Not at all,19/07/15,9,NA,1,Newar,Skilled Worker (i.e. Carpenter)
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Male,55+,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,15/07/15,1,NA,1,Newar,Farmer / Laborer
Short-term shelter (tent / shelterbox),homemaker,Bhaktapur,7,Female,25 to 39,1 Not at all,1 Not at all,1 Not at all,How to get shelter materials,1 Not at all,No difficulty.,1 Not at all,20/07/15,9,NA,1,Newar,Other
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,20/07/15,9,NA,1,Newar,Skilled Worker (i.e. Carpenter)
NA,NA,Bhaktapur,7,Male,25 to 39,5 Completely yes,6 Don't know,6 Don't know,NA,6 Don't know,No difficulty.,6 Don't know,15/07/15,1,NA,1,Newar,Skilled Worker (i.e. Carpenter)
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,2 Very little,20/07/15,9,NA,1,Newar,Farmer / Laborer
NA,NA,Bhaktapur,7,Male,40 to 54,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,19/07/15,1,NA,1,Brahmin,NGO Worker / Business
NA,NA,Bhaktapur,7,Male,40 to 54,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,19/07/15,1,NA,1,Brahmin,NGO Worker / Business
NA,Housewife,Bhaktapur,7,Female,Don't know,2 Very little,6 Don't know,6 Don't know,News about government decisions,2 Very little,No difficulty.,1 Not at all,15/07/15,1,NA,1,Newar,Other
Housing inspections,NA,Bhaktapur,7,Male,40 to 54,1 Not at all,1 Not at all,6 Don't know,News about government decisions,1 Not at all,No difficulty.,1 Not at all,17/07/15,1,NA,1,Newar,Farmer / Laborer
NA,NA,Bhaktapur,7,Male,40 to 54,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,17/07/15,7,NA,1,Brahmin,"Government (i.e. teacher, health worker, army)"
NA,NA,Bhaktapur,7,Male,25 to 39,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,16/07/15,7,NA,1,Chhetri,NGO Worker / Business
NA,driver,Bhaktapur,7,Male,55+,1 Not at all,4 Mostly yes,1 Not at all,News about government decisions,4 Mostly yes,No difficulty.,1 Not at all,15/07/15,4,NA,1,Newar,Other
Long term shelter / housing,NA,Bhaktapur,7,Female,40 to 54,6 Don't know,2 Very little,2 Very little,News about government decisions,2 Very little,No difficulty.,2 Very little,19/07/15,5,NA,1,Brahmin,Skilled Worker (i.e. Carpenter)
NA,NA,Bhaktapur,7,Female,40 to 54,6 Don't know,4 Mostly yes,2 Very little,NA,2 Very little,No difficulty.,4 Mostly yes,17/07/15,7,NA,1,Tamang,Farmer / Laborer
Short-term shelter (tent / shelterbox),housewife,Bhaktapur,7,Female,40 to 54,1 Not at all,2 Very little,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,15/07/15,5,NA,1,Newar,Other
NA,NA,Bhaktapur,7,Male,25 to 39,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,17/07/15,1,NA,1,Chhetri,"Government (i.e. teacher, health worker, army)"
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Male,25 to 39,1 Not at all,2 Very little,2 Very little,News about government decisions,2 Very little,No difficulty.,2 Very little,19/07/15,5,NA,1,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Bhaktapur,7,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,6 Don't know,No difficulty.,1 Not at all,15/07/15,4,NA,1,Newar,Farmer / Laborer
NA,NA,Bhaktapur,7,Male,40 to 54,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,18/07/15,1,NA,1,Newar,NGO Worker / Business
NA,NA,Bhaktapur,7,Male,40 to 54,6 Don't know,6 Don't know,2 Very little,NA,2 Very little,No difficulty.,4 Mostly yes,20/07/15,5,NA,1,Newar,Farmer / Laborer
NA,NA,Bhaktapur,7,Female,55+,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,"Yes, some difficulty.",4 Mostly yes,17/07/15,1,NA,1,Chhetri,Farmer / Laborer
NA,NA,Bhaktapur,7,Male,25 to 39,2 Very little,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,17/07/15,2,NA,1,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Bhaktapur,7,Male,40 to 54,6 Don't know,2 Very little,3 Neutral,News about government decisions,2 Very little,No difficulty.,2 Very little,18/07/15,5,NA,1,Chhetri,Farmer / Laborer
Livelihoods,business,Bhaktapur,7,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,1 Not at all,15/07/15,5,NA,1,Newar,Other
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Male,25 to 39,2 Very little,2 Very little,1 Not at all,NA,3 Neutral,"Yes, some difficulty.",4 Mostly yes,16/07/15,5,NA,1,Chhetri,Skilled Worker (i.e. Carpenter)
Long term shelter / housing,NA,Bhaktapur,7,Male,55+,5 Completely yes,1 Not at all,5 Completely yes,News about government decisions,5 Completely yes,No difficulty.,2 Very little,15/07/15,4,NA,1,Newar,Farmer / Laborer
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Male,40 to 54,6 Don't know,2 Very little,3 Neutral,NA,2 Very little,No difficulty.,4 Mostly yes,18/07/15,2,NA,1,Brahmin,Farmer / Laborer
NA,kehi gardaina,Bhaktapur,7,Male,55+,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,17/07/15,7,NA,1,Chhetri,Other
NA,NA,Bhaktapur,7,Female,40 to 54,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,17/07/15,7,NA,1,Brahmin,NGO Worker / Business
Long term shelter / housing,housewife,Bhaktapur,7,Female,25 to 39,6 Don't know,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,15/07/15,4,NA,1,Newar,Other
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Male,40 to 54,2 Very little,2 Very little,2 Very little,NA,2 Very little,No difficulty.,4 Mostly yes,17/07/15,2,NA,1,Tamang,Farmer / Laborer
NA,NA,Bhaktapur,7,Female,40 to 54,6 Don't know,4 Mostly yes,2 Very little,NA,2 Very little,"Yes, some difficulty.",4 Mostly yes,18/07/15,2,NA,1,Newar,NGO Worker / Business
Clean water,NA,Bhaktapur,7,Female,25 to 39,6 Don't know,2 Very little,4 Mostly yes,How to get shelter materials,5 Completely yes,No difficulty.,2 Very little,17/07/15,1,NA,1,Brahmin,Farmer / Laborer
Financial support,NA,Bhaktapur,7,Female,25 to 39,6 Don't know,2 Very little,1 Not at all,NA,2 Very little,"Yes, some difficulty.",4 Mostly yes,19/07/15,2,NA,1,Chhetri,Farmer / Laborer
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Female,25 to 39,2 Very little,2 Very little,2 Very little,News about government decisions,4 Mostly yes,"Yes, a lot of difficulty.",1 Not at all,18/07/15,1,NA,1,Brahmin,Farmer / Laborer
NA,NA,Bhaktapur,7,Male,40 to 54,6 Don't know,4 Mostly yes,2 Very little,News about government decisions,4 Mostly yes,"Yes, some difficulty.",2 Very little,16/07/15,4,NA,1,Brahmin,Farmer / Laborer
Short-term shelter (tent / shelterbox),Housewife,Bhaktapur,7,Female,40 to 54,2 Very little,2 Very little,2 Very little,News about government decisions,4 Mostly yes,"Yes, some difficulty.",1 Not at all,21/07/15,1,NA,1,Brahmin,Other
Long term shelter / housing,NA,Bhaktapur,7,Male,40 to 54,6 Don't know,2 Very little,4 Mostly yes,How to get shelter materials,5 Completely yes,No difficulty.,3 Neutral,21/07/15,1,NA,1,Brahmin,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,NA,Bhaktapur,7,Male,25 to 39,6 Don't know,2 Very little,4 Mostly yes,News about government decisions,4 Mostly yes,No difficulty.,3 Neutral,21/07/15,5,NA,1,Chhetri,Farmer / Laborer
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Male,40 to 54,6 Don't know,3 Neutral,4 Mostly yes,NA,2 Very little,"Yes, some difficulty.",4 Mostly yes,21/07/15,5,NA,1,Chhetri,Farmer / Laborer
NA,NA,Bhaktapur,7,Female,55+,7 Refused,4 Mostly yes,4 Mostly yes,NA,7 Refused,"Yes, a lot of difficulty.",4 Mostly yes,21/07/15,7,NA,1,Brahmin,Farmer / Laborer
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Male,25 to 39,6 Don't know,2 Very little,1 Not at all,NA,4 Mostly yes,"Yes, some difficulty.",4 Mostly yes,21/07/15,5,NA,1,Tamang,Farmer / Laborer
NA,NA,Bhaktapur,7,Female,40 to 54,6 Don't know,4 Mostly yes,3 Neutral,News about government decisions,4 Mostly yes,"Yes, some difficulty.",2 Very little,21/07/15,5,NA,1,Chhetri,Farmer / Laborer
NA,NA,Bhaktapur,7,Female,40 to 54,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,"Yes, some difficulty.",4 Mostly yes,21/07/15,7,NA,1,Brahmin,Farmer / Laborer
NA,NA,Bhaktapur,7,Male,40 to 54,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,5 Completely yes,21/07/15,7,NA,1,Chhetri,NGO Worker / Business
NA,NA,Bhaktapur,7,Male,40 to 54,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,"Yes, some difficulty.",5 Completely yes,21/07/15,7,NA,1,Brahmin,"Government (i.e. teacher, health worker, army)"
NA,NA,Bhaktapur,7,Male,25 to 39,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,21/07/15,7,NA,1,Chhetri,"Government (i.e. teacher, health worker, army)"
NA,NA,Bhaktapur,7,Female,55+,6 Don't know,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,"Yes, some difficulty.",4 Mostly yes,21/07/15,2,NA,1,Brahmin,"Government (i.e. teacher, health worker, army)"
NA,NA,Bhaktapur,7,Female,55+,7 Refused,4 Mostly yes,4 Mostly yes,NA,7 Refused,"Yes, a lot of difficulty.",4 Mostly yes,21/07/15,7,NA,1,Brahmin,Farmer / Laborer
NA,NA,Bhaktapur,7,Male,40 to 54,2 Very little,5 Completely yes,5 Completely yes,NA,4 Mostly yes,No difficulty.,5 Completely yes,21/07/15,2,NA,1,Chhetri,Farmer / Laborer
NA,NA,Bhaktapur,7,Male,40 to 54,6 Don't know,4 Mostly yes,5 Completely yes,NA,4 Mostly yes,"Yes, some difficulty.",4 Mostly yes,21/07/15,4,NA,1,Brahmin,"Government (i.e. teacher, health worker, army)"
Financial support,NA,Bhaktapur,7,Female,40 to 54,6 Don't know,2 Very little,4 Mostly yes,NA,4 Mostly yes,"Yes, some difficulty.",4 Mostly yes,21/07/15,0,NA,1,Chhetri,NGO Worker / Business
NA,NA,Bhaktapur,7,Male,55+,3 Neutral,5 Completely yes,5 Completely yes,NA,4 Mostly yes,"Yes, some difficulty.",4 Mostly yes,21/07/15,2,NA,1,Newar,Farmer / Laborer
Long term shelter / housing,House Wife,Bhaktapur,7,Female,40 to 54,4 Mostly yes,1 Not at all,2 Very little,News about government decisions,3 Neutral,No difficulty.,2 Very little,23/07/15,4,NA,1,Brahmin,Other
NA,NA,Bhaktapur,7,Male,25 to 39,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,23/07/15,4,NA,1,Newar,NGO Worker / Business
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Male,25 to 39,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,23/07/15,4,NA,1,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Bhaktapur,7,Female,40 to 54,2 Very little,1 Not at all,1 Not at all,NA,4 Mostly yes,"Yes, some difficulty.",4 Mostly yes,23/07/15,4,NA,1,Newar,Farmer / Laborer
Long term shelter / housing,NA,Bhaktapur,7,Male,25 to 39,2 Very little,1 Not at all,1 Not at all,News about government decisions,4 Mostly yes,No difficulty.,2 Very little,23/07/15,4,NA,1,Newar,Farmer / Laborer
Long term shelter / housing,House Wife,Bhaktapur,7,Female,40 to 54,3 Neutral,1 Not at all,1 Not at all,News about government decisions,2 Very little,No difficulty.,1 Not at all,23/07/15,4,NA,1,Chhetri,Other
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Female,40 to 54,2 Very little,1 Not at all,1 Not at all,NA,4 Mostly yes,"Yes, some difficulty.",4 Mostly yes,23/07/15,8,NA,1,Newar,Farmer / Laborer
Long term shelter / housing,House Wife,Bhaktapur,7,Female,40 to 54,3 Neutral,1 Not at all,1 Not at all,News about government decisions,2 Very little,No difficulty.,1 Not at all,23/07/15,8,NA,1,Newar,Other
Long term shelter / housing,NA,Bhaktapur,7,Female,25 to 39,3 Neutral,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",2 Very little,23/07/15,8,NA,1,Newar,Farmer / Laborer
NA,NA,Bhaktapur,7,Male,40 to 54,4 Mostly yes,4 Mostly yes,4 Mostly yes,News about government decisions,4 Mostly yes,No difficulty.,1 Not at all,23/07/15,8,NA,1,Newar,Skilled Worker (i.e. Carpenter)
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Male,25 to 39,3 Neutral,3 Neutral,3 Neutral,News about government decisions,3 Neutral,No difficulty.,2 Very little,23/07/15,8,NA,1,Newar,Farmer / Laborer
NA,NA,Bhaktapur,7,Male,40 to 54,5 Completely yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,23/07/15,8,NA,1,Newar,"Government (i.e. teacher, health worker, army)"
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Male,40 to 54,3 Neutral,2 Very little,3 Neutral,NA,2 Very little,"Yes, some difficulty.",4 Mostly yes,23/07/15,3,NA,1,Newar,Farmer / Laborer
Long term shelter / housing,NA,Bhaktapur,7,Male,40 to 54,3 Neutral,3 Neutral,3 Neutral,NA,3 Neutral,"Yes, some difficulty.",4 Mostly yes,23/07/15,3,NA,1,Chhetri,NGO Worker / Business
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Male,25 to 39,3 Neutral,3 Neutral,3 Neutral,How to replace personal documentation,4 Mostly yes,"Yes, some difficulty.",3 Neutral,23/07/15,3,NA,1,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Bhaktapur,7,Male,40 to 54,4 Mostly yes,3 Neutral,4 Mostly yes,NA,4 Mostly yes,"Yes, some difficulty.",4 Mostly yes,23/07/15,3,NA,1,Brahmin,"Government (i.e. teacher, health worker, army)"
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Male,40 to 54,3 Neutral,3 Neutral,3 Neutral,NA,4 Mostly yes,"Yes, some difficulty.",4 Mostly yes,23/07/15,8,NA,1,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Bhaktapur,7,Female,25 to 39,6 Don't know,2 Very little,3 Neutral,NA,6 Don't know,"Yes, some difficulty.",4 Mostly yes,23/07/15,3,NA,1,Newar,Farmer / Laborer
Long term shelter / housing,NA,Bhaktapur,7,Male,40 to 54,3 Neutral,3 Neutral,4 Mostly yes,NA,4 Mostly yes,"Yes, some difficulty.",4 Mostly yes,23/07/15,3,NA,1,Chhetri,Farmer / Laborer
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Female,25 to 39,2 Very little,3 Neutral,2 Very little,NA,3 Neutral,"Yes, some difficulty.",4 Mostly yes,23/07/15,9,NA,1,Newar,Farmer / Laborer
NA,NA,Bhaktapur,7,Female,25 to 39,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,3 Neutral,"Yes, some difficulty.",5 Completely yes,23/07/15,9,NA,1,Newar,"Government (i.e. teacher, health worker, army)"
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Male,40 to 54,3 Neutral,3 Neutral,3 Neutral,NA,3 Neutral,"Yes, some difficulty.",4 Mostly yes,23/07/15,9,NA,1,Newar,Farmer / Laborer
Short-term shelter (tent / shelterbox),NA,Bhaktapur,7,Male,40 to 54,3 Neutral,3 Neutral,3 Neutral,NA,4 Mostly yes,"Yes, some difficulty.",4 Mostly yes,23/07/15,9,NA,1,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Bhaktapur,7,Female,40 to 54,3 Neutral,3 Neutral,3 Neutral,NA,3 Neutral,"Yes, some difficulty.",4 Mostly yes,23/07/15,9,NA,1,Chhetri,Farmer / Laborer
Long term shelter / housing,Student,Bhaktapur,7,Male,15 to 24,4 Mostly yes,3 Neutral,3 Neutral,NA,3 Neutral,No difficulty.,4 Mostly yes,23/07/15,9,NA,1,Newar,Other
Long term shelter / housing,NA,Dhading,7,Female,25 to 39,6 Don't know,1 Not at all,7 Refused,NA,6 Don't know,"Yes, some difficulty.",6 Don't know,12/07/15,6,NA,1,Tamang,Farmer / Laborer
NA,NA,Dhading,7,Male,15 to 24,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,1 Not at all,No difficulty.,4 Mostly yes,16/07/15,6,NA,1,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Dhading,7,Male,55+,5 Completely yes,1 Not at all,2 Very little,NA,5 Completely yes,"Yes, some difficulty.",5 Completely yes,14/07/15,6,NA,1,Tamang,Farmer / Laborer
NA,NA,Dhading,7,Male,40 to 54,6 Don't know,7 Refused,6 Don't know,News about government decisions,6 Don't know,"Yes, some difficulty.",1 Not at all,15/07/15,6,NA,1,Tamang,Farmer / Laborer
NA,NA,Dhading,7,Female,Refused,1 Not at all,7 Refused,6 Don't know,NA,1 Not at all,"Yes, some difficulty.",6 Don't know,15/07/15,6,NA,1,Tamang,Farmer / Laborer
NA,NA,Dhading,7,Female,25 to 39,4 Mostly yes,5 Completely yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,5 Completely yes,15/07/15,6,NA,1,Tamang,Farmer / Laborer
NA,NA,Dhading,7,Male,25 to 39,4 Mostly yes,5 Completely yes,5 Completely yes,NA,4 Mostly yes,No difficulty.,5 Completely yes,15/07/15,1,NA,1,Brahmin,Farmer / Laborer
NA,NA,Dhading,7,Female,55+,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,"Yes, some difficulty.",4 Mostly yes,15/07/15,1,NA,1,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Dhading,7,Male,25 to 39,2 Very little,1 Not at all,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,15/07/15,1,NA,1,Dalit,Farmer / Laborer
Short-term shelter (tent / shelterbox),NA,Dhading,7,Male,55+,1 Not at all,1 Not at all,1 Not at all,News about government decisions,2 Very little,No difficulty.,1 Not at all,15/07/15,1,NA,1,Dalit,Farmer / Laborer
NA,NA,Dhading,7,Female,40 to 54,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,5 Completely yes,No difficulty.,4 Mostly yes,15/07/15,1,NA,1,Dalit,Farmer / Laborer
Long term shelter / housing,NA,Dhading,7,Female,40 to 54,1 Not at all,1 Not at all,4 Mostly yes,NA,1 Not at all,No difficulty.,4 Mostly yes,15/07/15,3,NA,1,Chhetri,Farmer / Laborer
NA,NA,Dhading,7,Male,40 to 54,6 Don't know,6 Don't know,6 Don't know,NA,6 Don't know,"Yes, some difficulty.",7 Refused,14/07/15,3,NA,1,Muslim,NGO Worker / Business
NA,NA,Dhading,7,Female,55+,6 Don't know,6 Don't know,6 Don't know,NA,6 Don't know,"Yes, some difficulty.",7 Refused,14/07/15,2,NA,1,Tamang,Farmer / Laborer
Long term shelter / housing,NA,Dhading,7,Male,40 to 54,6 Don't know,1 Not at all,4 Mostly yes,NA,5 Completely yes,No difficulty.,4 Mostly yes,14/07/15,3,NA,1,Chhetri,Farmer / Laborer
NA,NA,Dhading,7,Male,25 to 39,4 Mostly yes,5 Completely yes,4 Mostly yes,NA,5 Completely yes,No difficulty.,5 Completely yes,14/07/15,3,NA,1,Chhetri,Farmer / Laborer
NA,NA,Dhading,7,Male,40 to 54,4 Mostly yes,5 Completely yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,16/07/15,9,NA,1,Brahmin,"Government (i.e. teacher, health worker, army)"
NA,NA,Dhading,7,Male,25 to 39,5 Completely yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,16/07/15,9,NA,1,Janajati,Farmer / Laborer
Education,NA,Dhading,7,Male,40 to 54,5 Completely yes,3 Neutral,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,16/07/15,9,NA,1,Brahmin,Skilled Worker (i.e. Carpenter)
NA,NA,Dhading,7,Female,25 to 39,4 Mostly yes,4 Mostly yes,4 Mostly yes,News about government decisions,4 Mostly yes,No difficulty.,3 Neutral,16/07/15,9,NA,1,Dalit,Farmer / Laborer
